Asset,Ticker,Units,Purchase Price,Currency Purchase,Currency Yahoo,Price Last Update,Date Last Update,Value Last Update,Profit Last Update
S&P 500 ETF,SXR8.DE,17.478,584.85,EUR,EUR,586.5399780273438,2025-08-05,9793.97208,-428.03622
Zalando,ZAL.DE,407.0,44.08,EUR,EUR,25.280000686645508,2025-08-05,11461.12,-6479.44
S&P 500 IT ETF,QDVE.DE,340.746,30.68,EUR,EUR,33.290000915527344,2025-08-05,10512.0141,57.92682
Bitcoin,BTC-USD,0.1279,44894.0,EUR,USD,99365.56954201497,2025-08-05,11761.4282,6019.4856
Microsoft,MSFT,0.0389,384.06,EUR,USD,464.0249376405409,2025-08-05,16.437195,1.497261
