Asset,Ticker,Units,Purchase Price,Currency Purchase,Currency Yahoo,Price Last Update,Date Last Update,Value Last Update,Profit Last Update
S&P 500 ETF,SXR8.DE,17.478,584.85,EUR,EUR,578.9199829101562,2025-08-04,9793.97208,-428.03622
Zalando,ZAL.DE,407.0,44.08,EUR,EUR,25.6299991607666,2025-08-04,11461.12,-6479.44
S&P 500 IT ETF,QDVE.DE,340.746,30.68,EUR,EUR,32.61000061035156,2025-08-04,10512.0141,57.92682
Bitcoin,BTC-USD,0.1279,44894.0,EUR,USD,98845.92218181025,2025-08-04,11761.4282,6019.4856
Microsoft,MSFT,0.0389,384.06,EUR,USD,453.1454947844686,2025-08-04,16.437195,1.497261
